ACEITES;Aceite de Canola x 500 ml.;191
ACEITES;Aceite de Oliva Extra Virgen 250 ml. Vidrio;372
ACEITES;Aceite de Oliva Extra Virgen 500 ml. Vidrio;584
ACEITES;Aceite de Oliva Extra Virgen 750 ml. Vidrio;823
ACEITES;Aceite de Uva x 500 ml.;310
ACEITES;Aceite de Oliva Extra Virgen 500 ml. Vidrio;240
ACEITES;Aceite de Oliva Extra Virgen 1 lt. PET;341
ACEITES;Aceite de Oliva Extra Virgen 3 lt. PET;973
ACEITES;Aceite de Oliva Extra Virgen 5 lt. PET;1496
ACETOS;Aceto Balsámico Tipo Reducción x 250 ml.;132
ACETOS;Aceto con Frutos del Bosque x 80 cc.;125
ACETOS;Vinagre de Manzanas con Ají Picante x 800 cc.;125
ACETOS;Aceto Balsámico Di Módena 250 ml. Vidrio;219
ADEREZOS Y SALSAS;Mostaza x 230 grs. Juliana López May;127
ADEREZOS Y SALSAS;Sweet Relish x 200 grs.;84
ADEREZOS Y SALSAS;Aderezo Griego x 220 grs. Ajo y miel;134
ADEREZOS Y SALSAS;Mayonesa Clásica x 340 grs.;138
ADEREZOS Y SALSAS;Mayonesa Ahumada x 340 grs.;149
ADEREZOS Y SALSAS;Mayonesa con Ajo x 340 grs.;149
ADEREZOS Y SALSAS;Mostaza a la Antigua x 200 grs.;132
ADEREZOS Y SALSAS;Mostaza a la Miel x 200 grs.;123
ADEREZOS Y SALSAS;Mostaza Clásica x 200 grs.;118
ADEREZOS Y SALSAS;Mostaza a las Finas Hierbas x 190 grs.;124
ADEREZOS Y SALSAS;Mostaza Dijón x 200 grs.;138
ADEREZOS Y SALSAS;Mostaza Sin Sal x 200 grs.;135
ADEREZOS Y SALSAS;Mostaza Tipo Alemana x 200 grs.;124
ADEREZOS Y SALSAS;Chimichurri Etiqueta Negra x 175 grs.;128
ADEREZOS Y SALSAS;Chimichurri Etiqueta Negra Picante x 176 grs.;138
ADEREZOS Y SALSAS;Chimichurri Hot Sauce Terapia Picante x 186 grs.;275
ADEREZOS Y SALSAS;Salsa Barbacoa x 200 grs.;133
ADEREZOS Y SALSAS;Salsa Criolla x 175 grs.;134
ADEREZOS Y SALSAS;Salsa Extra Picante x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Picante x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Dulce Picante x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Barbacoa x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Cuyana x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Tijuana x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Criolla x 200 cc.;84
ADEREZOS Y SALSAS;Salsa Reducción de Cerveza Negra x 200 cc.;93
ADEREZOS Y SALSAS;Salsa Picante de Chile Jalapeño x 150 ml.;228
ADEREZOS Y SALSAS;Salsa de Ajos y Miel x 250 cc.;154
ADEREZOS Y SALSAS;Salsa de Pimienta Negra x 250 cc.;154
ADEREZOS Y SALSAS;Salsa Picante x 140 ml.;123
ADEREZOS Y SALSAS;Salsa Inglesa - Worcestershire Sauce x 148 ml.;265
ADEREZOS Y SALSAS;Salsa Inglesa - Worcestershire Sauce x 296 ml.;424
ADEREZOS Y SALSAS;Salsa de Soja x 500 ml.;229
ADEREZOS Y SALSAS;Chutney de Alcayota al Torrontés x 170 grs.;109
ADEREZOS Y SALSAS;Chutney de Moras al Malbec x 160 grs.;122
ADEREZOS Y SALSAS;Pesto de Rúcula 170 grs.;127
ADEREZOS Y SALSAS;Pesto Genovese 170 grs.;95
ADEREZOS Y SALSAS;Pesto Rosso 170 grs.;113
ADEREZOS Y SALSAS;Mayonesa de Remolacha x 310 grs.;127
ADEREZOS Y SALSAS;Mayonesa de Zanahoria x 310 grs.;127
ADEREZOS Y SALSAS;Salsa Agripicante 250 grs.;127
BEBIDAS;Jugo de Uva x 1 lt.;125
CONSERVAS Y ENCURTIDOS;Ajos Confitados x 55 grs.;100
CONSERVAS Y ENCURTIDOS;Limones en Conserva 190 grs.;118
CONSERVAS Y ENCURTIDOS;Olivas Marinadas x 240 grs.;149
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Griegas Premium x 400 grs.;184
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Rellenas con Sardo x 120 grs.;104
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Rellenas con Sardo x 120 grs.;105
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Rellenas con Reggianito x 120 grs.;108
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Rellenas con Reggianito x 120 grs.;109
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Rellenas con Almendras x 120 grs.;129
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Rellenas con Almendras x 120 grs.;139
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Arauco Nro. 0 - 220 grs. ;74
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Nat. Nro. 0 - 220 grs.;96
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Descarozadas Nro. 0 - 220 grs.;83
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Descarozadas Nro. 0 - 220 grs.;79
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Rellenas con Morrón Nro. 0 - 220 grs.;90
CONSERVAS Y ENCURTIDOS;Aceitunas Verdes Arauco Nro. 0 - 1 kg.;214
CONSERVAS Y ENCURTIDOS;Aceitunas Negras Nat. Nro. 0 - 1 kg.;332
CONSERVAS Y ENCURTIDOS;Tomate Triturado x 480 grs.;50
CONSERVAS Y ENCURTIDOS;Tomate Triturado x 950 grs.;66
CONSERVAS Y ENCURTIDOS;Cebolla Morada Agridulce x 200 grs.;93
CONSERVAS Y ENCURTIDOS;Pasta de Berenjena x 200 grs.;84
CONSERVAS Y ENCURTIDOS;Pasta de Beteraba x 200 grs.;84
CONSERVAS Y ENCURTIDOS;Pasta de Zanahoria con Jengibre x 200 grs.;84
CONSERVAS Y ENCURTIDOS;Pasta de Tomates Secos x 200 grs.;99
CONSERVAS Y ENCURTIDOS;Pasta de Aceitunas Verdes x 200 grs.;88
CONSERVAS Y ENCURTIDOS;Pasta de Jalapeños Ahumada x 120 grs.;93
CONSERVAS Y ENCURTIDOS;Hummus 170 grs.;110
CONSERVAS Y ENCURTIDOS;Tapenade Rojo 170 grs. Tomates secos;109
CONSERVAS Y ENCURTIDOS;Tapenade Tradicional 170 grs. Aceitunas verdes y almendras;109
CONSERVAS Y ENCURTIDOS;Aceitunas Descarozadas Ahumadas 170 grs.;90
CONSERVAS Y ENCURTIDOS;Caponatta Siciliana 170 grs.;101
CONSERVAS Y ENCURTIDOS;Pasta de Aceitunas con Pimiento Morrón 160 grs.;105
CONSERVAS Y ENCURTIDOS;Peras al Malbec;126
CONSERVAS Y ENCURTIDOS;Schiacciate a la Italiana 170 grs.;85
CONSERVAS Y ENCURTIDOS;Tomates Secos Condimentados 180 grs.;113
CONSERVAS Y ENCURTIDOS;Tomates Secos en Aceite Ahumado 170 grs.;113
DULCE;Dulce de Frambuesa x 450 grs. C/azúcar orgánica;203
DULCE;Dulce de Arándanos x 450 grs.;192
DULCE;Dulce de Frutilla x 450 grs. c/ azúcar orgánica;192
DULCE;Dulce de Frutilla x 450 grs. s/ azúcar;266
DULCE;Dulce de Frutos del Bosque x 450 grs. c/ azúcar orgánica;192
DULCE;Dulce de Frutos del Bosque x 450 grs. s/ azúcar;266
DULCE;Mermelada de Higo con Nuez x 450 grs.;159
DULCE;Mermelada de Higo x 450 grs.;159
DULCE;Dulce de Leche Artesanal x 250 grs.;135
DULCE;Dulce de Leche Artesanal x 840 grs.;262
DULCE;Dulce de Leche Artesanal x 450 grs.;172
DULCE;Dulce de Leche Quijanito x 400 grs.;86
DULCE;Dulce de Leche Artesanal Repostero x 400 grs.;94
DULCE;Dulce de Leche Artesanal Familiar Cuñete x 500 grs.;157
DULCE;Dulce de Leche Artesanal Cuñete x 1 kg.;248
DULCE;Dulce de Leche Artesanal Cuñete x 5 kg.;836
DULCE;Dulce de Leche Artesanal Repostero Cuñete x 5 kg.;836
DULCE;Dulce de Leche Artesanal Sachet x 5 kg.;836
DULCE;Dulce de Leche Artesanal Sachet Repostero x 5 kg.;836
DULCE;Dulce de Mosqueta con Chocolate x 220 grs.;60
DULCE;Dulce de Frutos Rojos y Lavanda x 220 grs.;60
DULCE;Dulce de Frutos Rojos y Lavanda x 220 grs. Sin Azúcar;120
DULCE;Mermelada de Naranjas y Zanahorias 310 grs.;127
DULCE;Mermelada de Cebollas al Malbec x 310 grs.;149
DULCE;Mermelada de Ananá x 430 grs.;131
DULCE;Dulce de Leche al Rhum x 200 grs.;139
DULCE;Dulce de Leche con Chocolate x 200 grs.;139
DULCE;Dulce de Leche Alpino x 200 grs.;139
DULCE;Dulce de Leche Manjar x 200 grs.;133
DULCE;Dulce de Leche Manjar x 400 grs.;181
DULCE;Mermelada de Frutilla x 410 grs.;148
DULCE;Mermelada de Durazno x 410 grs.;148
DULCE;Mermelada de Naranja x 410 grs.;148
DULCE;Mermelada de Ciruela x 410 grs.;148
DULCE;Mermelada de Arándanos x 360 grs.;190
DULCE;Mermelada de Mora x 360 grs.;190
DULCE;Mermelada Frutos del Bosque x 360 grs.;190
DULCE;Mermelada Frambuesa x 360 grs.;190
DULCE;Dulce de Frambuesa con Espumante x 210 grs.;149
DULCE;Dulce de Arándanos y Sauco con Whisky x 210 grs.;149
DULCE;Dulce de Frutos del Bosque con Sidra x 210 grs.;149
DULCE;Dulce de Frutillas con Merlot x 210 grs.;149
DULCE;Dulce de Manzanas con Cerveza x 210 grs.;149
DULCE;Mermelada de Frambuesa x 430 grs.;189
DULCE;Mermelada de Arándanos x 430 grs.;189
DULCE;Mermelada de Rosa Mosqueta x 430 grs.;189
DULCE;Mermelada de Alcayota 320 grs.;100
DULCE;Mermelada de Ciruela 320 grs.;86
DULCE;Mermelada de Durazno 320 grs.;87
DULCE;Mermelada de Manzana Verde 320 grs.;87
DULCE;Mermelada de Membrillo 320 grs.;87
